Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Cool Streets
Lower East Side Partnership,Manhattan,Rivington Street,Allen Street,Ludlow Street,Temporary Limited Local Access,05/07/2020,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,ALL,
Rivington East Merchants Association,Manhattan,Rivington Street,Essex Street,Norfolk Street,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"F,S,U",
Ray's Bar,Manhattan,Rivington Street,Chrystie Street,Bowery,Temporary Full Closure,09/11/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,12:00AM,12:00PM,12:00AM,"S,U",
North Brooklyn Open Streets Community Coalition,Brooklyn,Russell Street,Nassau Avenue,Driggs Avenue,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Sharon Street Block Association,Brooklyn,Sharon Street,Morgan Avenue,Olive Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Silver Lake Park,Staten Island,Silver Lake Park Road,Forest Avenue,Victory Boulevard,Temporary Full Closure,05/02/2020,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,
Sunnyside Woodside Open Streets,Queens,Skillman Avenue,39th Place,43rd Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Fort Greene,Brooklyn,South Portland Avenue,Fulton Street,Dekalb Avenue,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
"St Tropez Soho, LLC",Manhattan,Spring Street,Sullivan Street,Thompson Street,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,5:00PM,11:00PM,5:00PM,11:00PM,4:00PM,12:00AM,11:00AM,12:00AM,11:00AM,11:00PM,"W,R,F,S,U",
Bistro Les Amis,Manhattan,Spring Street,Thompson Street,West Broadway,Temporary Full Closure,07/31/2020,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,ALL,
Mari Makan LLC,Manhattan,Spring Street,Mott Street,Elizabeth Street,Temporary Full Closure,08/14/2020,12:00PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,10:00AM,12:00AM,10:00AM,12:00AM,ALL,
Village Alliance,Manhattan,St Marks Place,3rd Avenue,2nd Avenue,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:30PM,12:00AM,11:30AM,12:00AM,11:30AM,12:00AM,"F,S,U",
St Marks Business Coalition,Manhattan,St Marks Place,1st Avenue,Avenue A,Temporary Full Closure,09/11/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:30PM,11:00PM,11:30AM,11:00PM,11:30AM,10:00PM,"F,S,U",
Lower East Side Partnership,Manhattan,Stanton Street,Allen Street,Ludlow Street,Temporary Limited Local Access,05/07/2020,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,ALL,
Boerum Hill Association,Brooklyn,State Street,Nevins Street,Smith Street,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Willowtown Association,Brooklyn,State Street,Willow Place,Columbia Place,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Judson Memorial Church,Manhattan,Thompson Street,West 3rd Street,Washington Square South,Temporary Limited Local Access,07/24/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Kingsbridge,Bronx,Tibbett Avenue,West 238th Street,West 232nd Street,Temporary Limited Local Access,06/25/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Morrisiana,Bronx,Trinity Avenue,East 166th Street,East 161th Street,Temporary Limited Local Access,06/25/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
"Prospect Heights Neighborhood Development Council, Inc.",Brooklyn,Underhill Avenue,St. Johns Place,Atlantic Avenue,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Village Alliance,Manhattan,University Place,East 13th Street,West 4th Street,Temporary Limited Local Access,05/23/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:30AM,1:30PM,U,
"Prospect Heights Neighborhood Development Council, Inc.",Brooklyn,Vanderbilt Avenue,Atlantic Avenue,Park Place,Temporary Full Closure,04/02/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,11:00AM,10:00PM,11:00AM,10:00PM,"F,S,U",
Village Alliance,Manhattan,Washington Place,Greene Street,Washington Square East,Temporary Limited Local Access,09/02/2020,8:30AM,7:00PM,8:30AM,7:00PM,8:30AM,7:00PM,8:30AM,7:00PM,8:30AM,7:00PM,N/A,N/A,8:30AM,4:00PM,"M,T,W,R, F,U",
DUMBO Business Improvement District,Brooklyn,Washington Street,Front Street,Water Street,Temporary Full Closure,04/02/2021,11:00AM,6:00PM,11:00AM,6:00PM,11:00AM,6:00PM,11:00AM,6:00PM,11:00AM,6:00PM,11:00AM,6:00PM,11:00AM,6:00PM,ALL,
Jeffrey's Grocery,Manhattan,Waverly Place,Christopher Street,7th Avenue South,Temporary Full Closure,10/02/2020,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"R,F,S,U",
West 103rd St Open Streets Community Coalition,Manhattan,West 103rd Street,Amsterdam Avenue,Riverside Drive,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Harlem,Manhattan,West 117th Street,Morningside Avenue,5th Avenue,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Chelsea,Manhattan,West 21st Street,9th Avenue,10th Avenue,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Chelsea,Manhattan,West 22nd Street,8th Avenue,7th Avenue,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Flatiron 23rd Street Partnership,Manhattan,West 22nd Street,5th Avenue,6th Avenue,Temporary Full Closure,07/17/2020,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,11:00AM,11:00PM,ALL,
New York Korea Town Association,Manhattan,West 32nd Street,5th Avenue,Broadway,Temporary Full Closure,07/31/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",
Astoria Park,Queens,Shore Boulevard,Ditmars Boulevard,Astoria Park South,Temporary Limited Local Access,05/02/2020,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,
Times Square Alliance,Manhattan,West 46th Street,8th Avenue,9th Avenue,Temporary Limited Local Access,06/25/2020,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,ALL,
Red Hook Initiative,Brooklyn,West 9th Street,Henry Street,Hicks Street,Temporary Limited Local Access,05/23/2020,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,N/A,N/A,"M,T,W,R,F,S",
Forest Park,Queens,West Main Drive,Band Shell Lot,Golf Course Lot,Temporary Full Closure,05/02/2020,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,
Fort Greene,Brooklyn,Willoughby Avenue,Washington Park Street,Hall Street,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Downtown Brooklyn Partnership,Brooklyn,Willoughby Street,Pearl Street,Jay Street,Temporary Limited Local Access,05/07/2020,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,ALL,
Willowtown Association,Brooklyn,Willow Place,Joralemon Street,State Street,Temporary Limited Local Access,05/24/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Jadis,Manhattan,Rivington Street,Eldridge Street,Forsyth Street,Temporary Limited Local Access,03/13/2021,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,3:00PM,12:00AM,3:00PM,12:00AM,ALL,
Meatpacking Business Improvement District,Manhattan,Little West 12th Street,9th Avenue,Washington Street,Mix of Two Types,04/02/2021,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
Meatpacking Business Improvement District,Manhattan,West 13th Street,9th Avenue,Washington Street,Mix of Two Types,04/02/2021,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
Meatpacking Business Improvement District,Manhattan,Gansevoort Street,9th Avenue,Washington Street,Mix of Two Types,04/02/2021,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
Atlantic Avenue Business Improvement District,Brooklyn,Hoyt Street,Atlantic Avenue,Schermerhorn Street,Temporary Full Closure,08/28/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",Y
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,15th Street,16th Street,Temporary Full Closure,05/01/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,10:00PM,N/A,N/A,S,
Columbus Amsterdam Business Improvement District,Manhattan,Amsterdam Avenue,West 96th Street,West 106th Street,Temporary Full Closure,05/02/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,8:30PM,U,
Mad Morton,Manhattan,Morton Street,7th Avenue South,Bleecker Street,Temporary Full Closure,05/06/2021,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,ALL,
The Gowanus Dredgers Canoe Club,Brooklyn,2nd Street,Bond Street,Dead End,Temporary Limited Local Access,05/11/2021,1:00PM,5:00PM,N/A,N/A,1:00PM,5:00PM,N/A,N/A,N/A,N/A,1:00PM,9:00PM,N/A,N/A,"M,W,S",
Sonnyboy,Manhattan,Rivington Street,Allen Street,Eldridge Street,Temporary Full Closure,05/14/2021,N/A,N/A,N/A,N/A,N/A,N/A,6:00PM,10:45PM,6:00PM,11:45PM,10:00AM,11:45PM,10:00AM,10:45PM,"R,F,S,U",
Columbus Amsterdam Business Improvement District,Manhattan,Columbus Avenue,West 106th Street,West 110th Street,Temporary Full Closure,05/15/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00AM,8:30PM,11:00AM,8:30PM,"S,U",
120 Marcus Meets Malcolm,Manhattan,West 120th Street,Lenox Avenue,Mount Morris Park West,Temporary Limited Local Access,05/17/2021,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,10:00PM,8:00AM,10:00PM,8:00AM,8:00PM,ALL,
Boerum Hill Association,Brooklyn,Wyckoff Street,Hoyt Street,4th Avenue,Temporary Limited Local Access,05/26/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,"F,S,U",
Blissville Civic Association,Queens,37th Street,Starr Avenue,Bradley Avenue,Temporary Limited Local Access,05/29/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,8:00PM,"S,U",
Union Square Café,Manhattan,East 19th Street,Irving Place,Park Avenue South,Temporary Full Closure,06/11/2021,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
Decatur Howard Saratoga Block Association President,Brooklyn,Decatur Street,Howard Avenue,Saratoga Avenue,Temporary Limited Local Access,06/11/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:00AM,8:00PM,8:00AM,8:00PM,N/A,N/A,"S,U",
1717 East 18th Street Owners Corporation,Brooklyn,East 18th Street,Quentin Road,Avenue R,Temporary Limited Local Access,06/26/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,8:00PM,12:00PM,8:00PM,"S,U",
17th Street Block Association,Brooklyn,Calder Place,Prospect Ave,17th Street,Temporary Limited Local Access,06/19/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,8:00PM,"S,U",
Musket Hospitality LLC,Manhattan,Elizabeth Street,Prince Street,East Houston Street,Temporary Full Closure,06/29/2021,N/A,N/A,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,4:30PM,12:00AM,10:00AM,12:00AM,10:00AM,11:00PM,"T,W,R,F,S,U",
Ernesto's NYC,Manhattan,Montgomery Street,East Broadway,Henry Street,Temporary Full Closure,07/02/2021,N/A,N/A,N/A,N/A,N/A,N/A,12:30PM,12:00AM,10:00AM,12:00AM,10:00AM,12:00AM,10:00AM,12:00AM,"R,F,S,U",
Caldwell Enrichment Programs,Bronx,Jennings Street,Chisholm Street,Prospect Avenue,Temporary Full Closure,07/06/2021,11:00AM,7:00PM,11:00AM,7:00PM,11:00AM,7:00PM,11:00AM,7:00PM,11:00AM,7:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
"Brooklyn New School, PS 146",Brooklyn,Rapelye Street,Hicks Street,Henry Street,Temporary Full Closure,07/06/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
West Side Montessori School,Manhattan,West 92nd Street,Riverside Drive,West End Avenue,Temporary Full Closure,07/06/2021,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Washington Market School,Manhattan,Staple Street,Duane Street,Jay Street,Temporary Full Closure,07/06/2021,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
MS363: The Academy for Personal Leadership and Excellence,Bronx,Field Place,Morris Avenue,Creston Avenue,Temporary Full Closure,07/12/2021,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
NYPD 44th Precinct,Bronx,Findlay Avenue,East 166th Street,East 167th Street,Temporary Full Closure,07/28/2021,9:00AM,3:00PM,9:00AM,3:00PM,9:00AM,3:00PM,9:00AM,3:00PM,9:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Kipp NYC,Bronx,Gerard Avenue,East 146th Street,East 149th Street,Temporary Full Closure,08/24/2021,8:00AM,5:00PM,8:00AM,5:00PM,8:00AM,2:00PM,8:00AM,2:00PM,8:00AM,5:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
KIPP NYC College Prep,Bronx,East 146th Street,Canal Place,Park Avenue,Temporary Full Closure,08/24/2021,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W",
Public School 56 Lewis H. Latimer,Brooklyn,Downing Street,Gates Avenue,Putnam Avenue,Temporary Full Closure,08/24/2021,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Bedford Stuyvesant New Beginnings Charter School,Brooklyn,Hart Street,Marcus Garvey Boulevard,Lewis Avenue,Temporary Full Closure,08/24/2021,7:30AM,4:00PM,7:30AM,4:00PM,7:30AM,4:00PM,7:30AM,4:00PM,7:30AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
St. Saviour Catholic Academy,Brooklyn,7th Street,Prospect Park West,8th Avenue,Temporary Full Closure,08/24/2021,11:30AM,1:30PM,11:30AM,1:30PM,11:30AM,1:30PM,11:30AM,1:30PM,11:30AM,1:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Packer Collegiate Institute,Brooklyn,Livingston Street,Court Street,Clinton Street,Temporary Full Closure,08/24/2021,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS8,Brooklyn,Poplar Street,Henry Street,Hicks Street,Temporary Full Closure,08/24/2021,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Hebrew Language Academy 2 Charter School,Brooklyn,82nd Street,24th Avenue,Stillwell Avenue,Temporary Full Closure,08/24/2021,8:00AM,3:30PM,8:00AM,3:30PM,8:00AM,3:30PM,8:00AM,3:30PM,8:00AM,3:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Brooklyn Heights Synagogue Preschool,Brooklyn,Remsen Street,Clinton Street,Henry Street,Temporary Full Closure,08/24/2021,9:15AM,3:00PM,9:15AM,3:00PM,9:15AM,3:00PM,9:15AM,3:00PM,9:15AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Bay Ridge Prep School,Brooklyn,Ridge Boulevard,81st Street,82nd Street,Temporary Full Closure,08/24/2021,8:30AM,3:00PM,8:30AM,3:00PM,8:30AM,3:00PM,8:30AM,3:00PM,8:30AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Blue School,Manhattan,Water Street,Beekman Street,Peck Slip,Temporary Full Closure,08/24/2021,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,7:00AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Friends Seminary,Manhattan,Rutherford Place,East 15th Street,East 17th Street,Temporary Full Closure,08/24/2021,7:30AM,3:30PM,7:30AM,3:30PM,7:30AM,3:30PM,7:30AM,3:30PM,7:30AM,3:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Friends Seminary,Manhattan,East 16th Street,3rd Avenue,Rutherford Place,Temporary Full Closure,08/24/2021,7:30AM,3:30PM,7:30AM,3:30PM,7:30AM,3:30PM,7:30AM,3:30PM,7:30AM,3:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Allen-Stevenson School,Manhattan,East 78th Street,Lexington Avenue,Park Avenue,Temporary Full Closure,08/24/2021,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Parkside School,Manhattan,West 74th Street,Columbus Avenue,Central Park West,Temporary Full Closure,08/24/2021,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Saint David's School,Manhattan,East 89th Street,Madison Avenue,5th Avenue,Temporary Full Closure,08/24/2021,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Marymount School of New York,Manhattan,East 82nd Street,5th Avenue,Madison Avenue,Temporary Full Closure,08/24/2021,8:00AM,4:30PM,8:00AM,4:30PM,8:00AM,4:30PM,8:00AM,4:30PM,8:00AM,4:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Dalton School,Manhattan,East 91st Street,Park Avenue,Madison Avenue,Temporary Full Closure,08/24/2021,10:30AM,1:00PM,10:30AM,1:00PM,10:30AM,1:00PM,10:30AM,1:00PM,10:30AM,1:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
