Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Cool Streets
Bayard Rustin Educational Campus,Manhattan,West 18th Street,9th Avenue,8th Avenue,Temporary Full Closure,08/24/2021,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Pine Street School,Manhattan,Nassau Street,Wall Street,Pine Street,Temporary Full Closure,08/24/2021,8:15AM,3:30PM,8:15AM,3:30PM,8:15AM,3:30PM,8:15AM,3:30PM,8:15AM,3:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Spence School,Manhattan,East 91st Street,Madison Avenue,5th Avenue,Temporary Full Closure,08/24/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Spence School,Manhattan,East 93rd Street,Park Avenue,Madison Avenue,Temporary Full Closure,08/24/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Hunter College Campus Schools,Manhattan,East 95th Street,Park Avenue,Madison Avenue,Temporary Full Closure,08/24/2021,10:30AM,1:00PM,10:30AM,1:00PM,10:30AM,1:00PM,10:30AM,1:00PM,10:30AM,1:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS3 John Melser Charrette School,Manhattan,Grove Street,Hudson Street,Bedford Street,Temporary Full Closure,08/24/2021,8:00AM,3:30PM,8:00AM,3:30PM,8:00AM,3:30PM,8:00AM,3:30PM,8:00AM,3:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Beginning with Children Charter School 2,Brooklyn,Heyward Street,Marcy Avenue,Harrison Avenue,Temporary Full Closure,08/24/2021,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Mary McDowell Friends School,Brooklyn,Summit Street,Henry Street,Hicks Street,Temporary Full Closure,08/24/2021,12:30PM,2:30PM,12:30PM,2:30PM,12:30PM,2:30PM,12:30PM,2:30PM,12:30PM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Mary McDowell Friends School,Brooklyn,Aitken Place,Clinton Street,Sidney Place,Temporary Full Closure,08/24/2021,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS37Q - Cynthia Jenkins School,Queens,136th Avenue,Denis Street,Belknap Street,Temporary Full Closure,08/24/2021,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Hector Figueroa School,Queens,34th Avenue,69th Street,70th Street,Temporary Full Closure,08/24/2021,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Ezra Jack Keats Pre-K Center,Queens,83rd Drive,Kew Gardens Road,Talbot Street,Temporary Full Closure,08/24/2021,9:00AM,12:00PM,9:00AM,12:00PM,9:00AM,12:00PM,9:00AM,12:00PM,9:00AM,12:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS149,Queens,34th Avenue,93rd Street,94th Street,Temporary Full Closure,08/24/2021,7:30AM,6:00PM,7:30AM,6:00PM,7:30AM,6:00PM,7:30AM,6:00PM,7:30AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Columbus Avenue Business Improvement District,Manhattan,Columbus Avenue,West 68th Street,West 77th Street,Temporary Full Closure,08/29/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,9:00PM,U,
Williamsburg Northside Schools,Brooklyn,Havemeyer Street,North 6th Street,North 7th Street,Temporary Full Closure,08/24/2021,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Ecole,Manhattan,East 22nd Street,Lexington Avenue,Park Avenue South,Temporary Full Closure,08/24/2021,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
I.S.61Q,Queens,50th Avenue,99th Street,98th Street,Temporary Full Closure,08/24/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Nightingale Bamford School,Manhattan,East 92nd Street,Madison Avenue,5th Avenue,Temporary Full Closure,08/24/2021,9:00AM,2:30PM,9:00AM,2:30PM,9:00AM,2:30PM,9:00AM,2:30PM,9:00AM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Oliver H. Perry Public School 34,Brooklyn,Eckford Street,Norman Avenue,Meserole Avenue,Temporary Full Closure,09/09/2021,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Hellenic Classical Charter Schools,Brooklyn,18th Street,5th Avenue,4th Avenue,Temporary Full Closure,09/09/2021,8:15AM,3:30PM,8:15AM,3:30PM,8:15AM,3:30PM,8:15AM,3:30PM,8:15AM,3:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 896 The School of Creativity and Innovation,Brooklyn,48th Street,7th Avenue,8th Avenue,Temporary Full Closure,09/09/2021,7:00AM,3:00PM,7:00AM,3:00PM,7:00AM,3:00PM,7:00AM,3:00PM,7:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Explore Exceed Charter School,Brooklyn,Saint Marks Avenue,Grand Avenue,Classon Avenue,Temporary Full Closure,09/09/2021,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Berkeley Carroll School,Brooklyn,Carroll Street,6th Avenue,7th Avenue,Temporary Full Closure,09/09/2021,10:00AM,1:00PM,10:00AM,1:00PM,10:00AM,1:00PM,10:00AM,1:00PM,10:00AM,1:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Yeshivat Darchei Eres,Brooklyn,Locust Avenue,Coney Island Avenue,East 12th Street,Temporary Full Closure,09/09/2021,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,10:00AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
MS 136 Charles O. Dewey,Brooklyn,41st Street,3rd Avenue,4th Avenue,Temporary Full Closure,09/09/2021,8:30AM,2:45PM,8:30AM,2:45PM,8:30AM,2:45PM,8:30AM,2:45PM,8:30AM,2:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 321,Brooklyn,2nd Street,6th Avenue,7th Avenue,Temporary Full Closure,09/09/2021,10:30AM,1:30PM,10:30AM,1:30PM,10:30AM,1:30PM,10:30AM,1:30PM,10:30AM,1:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 24,Brooklyn,37th Street,4th Avenue,5th Avenue,Temporary Full Closure,09/09/2021,9:45AM,12:45PM,9:45AM,12:45PM,9:45AM,12:45PM,9:45AM,12:45PM,9:45AM,12:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 230 The Doris Cohen School,Brooklyn,Albemarle Road,Mcdonald Avenue,Dahill Road,Temporary Full Closure,09/09/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
"Public School 48, The Mapleton School",Brooklyn,61st Street,18th Avenue,19th Avenue,Temporary Full Closure,09/09/2021,10:00AM,1:00PM,10:00AM,1:00PM,10:00AM,1:00PM,10:00AM,1:00PM,10:00AM,1:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
MS 839,Brooklyn,East 7th Street,Caton Avenue,Kermit Place,Temporary Full Closure,09/09/2021,8:00AM,6:00PM,8:00AM,6:00PM,8:00AM,6:00PM,8:00AM,6:00PM,8:00AM,6:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 42M,Manhattan,Hester Street,Orchard Street,Ludlow Street,Temporary Full Closure,09/09/2021,7:45AM,2:45PM,7:45AM,2:45PM,7:45AM,2:45PM,7:45AM,2:45PM,7:45AM,2:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Cooke School and Institute,Manhattan,MacDougal Street,West Houston Street,King Street,Temporary Full Closure,09/09/2021,7:45AM,5:00PM,7:45AM,5:00PM,7:45AM,5:00PM,7:45AM,5:00PM,7:45AM,5:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Grace Church School,Manhattan,East 10th Street,Broadway,4th Avenue,Temporary Full Closure,09/09/2021,7:45AM,4:00PM,7:45AM,4:00PM,7:45AM,4:00PM,7:45AM,4:00PM,7:45AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Village Community School,Manhattan,Washington Street,West 10th Street,Christopher Street,Temporary Full Closure,09/09/2021,10:00AM,3:00PM,10:00AM,3:00PM,10:00AM,3:00PM,10:00AM,3:00PM,10:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Peck Slip School,Manhattan,Peck Slip,Water Street,Pearl Street,Temporary Full Closure,09/09/2021,7:30AM,4:00PM,7:30AM,4:00PM,7:30AM,4:00PM,7:30AM,4:00PM,7:30AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Global Community Charter School,Manhattan,West 142nd Street,5th Avenue,Chisum Place,Temporary Full Closure,09/09/2021,9:00AM,4:30PM,9:00AM,4:30PM,9:00AM,4:30PM,9:00AM,4:30PM,9:00AM,4:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Washington Irving High School,Manhattan,Irving Place,East 16th Street,East 17th Street,Temporary Full Closure,09/09/2021,7:00AM,2:30PM,7:00AM,2:30PM,7:00AM,2:30PM,7:00AM,2:30PM,7:00AM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 6,Manhattan,East 81st Street,Park Avenue,Madison Avenue,Temporary Full Closure,09/09/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Earth School,Manhattan,East 5th Street,Avenue C,Dead End,Temporary Full Closure,09/10/2021,9:15AM,1:45PM,9:15AM,1:45PM,9:15AM,1:45PM,9:15AM,1:45PM,9:15AM,1:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 527,Manhattan,East 91st Street,1st Avenue,2nd Avenue,Temporary Full Closure,09/10/2021,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Alliance for Kips Bay,Manhattan,East 36th Street,2nd Avenue,1st Avenue,Temporary Full Closure,09/04/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9:30AM,6:30PM,9:30AM,6:30PM,"S,U",
"Parent Teacher Association of PS 199, Inc.",Manhattan,West 70th Street,West End Avenue,Amsterdam Avenue,Temporary Full Closure,09/10/2021,8:15AM,3:15PM,8:15AM,3:15PM,8:15AM,3:15PM,8:15AM,3:15PM,8:15AM,3:15PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 112,Manhattan,East 119th Street,Pleasant Avenue,Dead End,Temporary Full Closure,09/10/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
East Elmhurst Community School (PS 329Q),Queens,97th Street,Astoria Boulevard,31st Avenue,Temporary Full Closure,09/10/2021,12:45PM,3:00PM,12:45PM,3:00PM,12:45PM,3:00PM,12:45PM,3:00PM,12:45PM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 13Q Clement C Moore School,Queens,94th Street,55th Avenue,56th Avenue,Temporary Full Closure,09/10/2021,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
St. Matthias Catholic Academy,Queens,Catalpa Avenue,Woodward Avenue,Onderonk Avenue,Temporary Full Closure,09/10/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Queens School of Inquiry,Queens,160th Street,76th Road,77th Avenue,Temporary Full Closure,09/10/2021,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,7:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Sacred Heart Catholic Academy,Queens,78th Street,77th Avenue,78th Avenue,Temporary Full Closure,09/10/2021,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,8:00AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
IS 7,Staten Island,Irvington Street,Hylan Boulevard,Edith Avenue,Temporary Full Closure,09/10/2021,7:45AM,4:00PM,7:45AM,4:00PM,7:45AM,4:00PM,7:45AM,4:00PM,7:45AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
"The Marie Curie High School For Medicine, Nursing and Health Professions",Bronx,West 231st Street,Sedgwick Avenue,Kingsbridge Terrace,Temporary Full Closure,09/10/2021,9:00AM,2:00PM,9:00AM,2:00PM,9:00AM,2:00PM,9:00AM,2:00PM,9:00AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
DREAM,Bronx,Wales Avenue,East 143rd Street,East 144th Street,Temporary Full Closure,09/10/2021,9:00AM,1:30PM,9:00AM,1:30PM,9:00AM,1:30PM,9:00AM,1:30PM,9:00AM,1:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 43,Bronx,Brown Place,East 136th Street,East 135th Street,Temporary Full Closure,09/10/2021,9:30AM,1:15PM,9:30AM,1:15PM,9:30AM,1:15PM,9:30AM,1:15PM,9:30AM,1:15PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Pharos Academy Charter School,Bronx,Rogers Place,East 165th Street,Westchester Avenue,Temporary Full Closure,09/10/2021,11:30AM,1:00PM,11:30AM,1:00PM,11:30AM,1:00PM,11:30AM,1:00PM,11:30AM,1:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Friends of Saratoga Park Bed Stuy,Brooklyn,Howard Avenue,Macon Street,Halsey Street,Temporary Full Closure,09/10/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9:00AM,5:00PM,N/A,N/A,N/A,N/A,F,
Osborne Association,Manhattan,Old Broadway,West 125th Street,West 126th Street,Temporary Full Closure,09/13/2021,N/A,N/A,3:00PM,8:00PM,N/A,N/A,3:00PM,8:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"T,R",
High School of Telecommunication Arts and Technology,Brooklyn,67th Street,4th Avenue,3rd Avenue,Temporary Full Closure,09/16/2021,7:30AM,4:45PM,7:30AM,4:45PM,7:30AM,4:45PM,7:30AM,4:45PM,7:30AM,4:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
German School of Brooklyn,Brooklyn,Hanover Place,Livington Street,Fulton Street,Temporary Full Closure,09/16/2021,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 132,Brooklyn,Conselyea Street,Graham Avenue,Manhattan Avenue,Temporary Full Closure,09/16/2021,9:45AM,2:00PM,9:45AM,2:00PM,9:45AM,2:00PM,9:45AM,2:00PM,9:45AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Salk School of Science,Manhattan,East 19th Street,1st Avenue,2nd Avenue,Temporary Full Closure,09/16/2021,8:45AM,3:00PM,8:45AM,3:00PM,8:45AM,3:00PM,8:45AM,3:00PM,8:45AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Rodeph Sholom School,Manhattan,West 78th Street,Columbus Avenue,Amsterdam Avenue,Temporary Full Closure,09/16/2021,10:00AM,2:45PM,10:00AM,2:45PM,10:00AM,2:45PM,10:00AM,2:45PM,10:00AM,2:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS89Q - The Elmhurst School,Queens,Gleane Street,Britton Avenue,Elmhurt Avenue,Temporary Full Closure,09/16/2021,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Forest Elementary School,Queens,60th Street,Bleecker Street,Metropolitan Avenue,Temporary Full Closure,09/16/2021,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Samara Community School,Bronx,Bryant Avenue,East 173rd Street,East 172nd Street,Temporary Full Closure,09/16/2021,10:00AM,1:30PM,10:00AM,1:30PM,10:00AM,1:30PM,10:00AM,1:30PM,10:00AM,1:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 222Q,Queens,87th Street,35th Avenue,37th Avenue,Temporary Full Closure,09/21/2021,10:45AM,1:30PM,10:45AM,1:30PM,10:45AM,1:30PM,10:45AM,1:30PM,10:45AM,1:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 3,Manhattan,Bedford Street,Grove Street,Christopher Street,Temporary Full Closure,09/23/2021,8:00AM,3:15PM,8:00AM,3:15PM,8:00AM,3:15PM,8:00AM,3:15PM,8:00AM,3:15PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
34th Ave Open Streets Coalition,Queens,34th Avenue,69th Street,Junction Boulevard,Temporary Limited Local Access,05/07/2020,7:00AM,8:00PM,7:00AM,8:00PM,7:00AM,8:00PM,7:00AM,8:00PM,7:00AM,8:00PM,7:00AM,8:00PM,7:00AM,8:00PM,ALL,
PS 376,Brooklyn,Harman Street,Myrtle Avenue,Wilson Avenue,Temporary Full Closure,09/27/2021,7:00AM,2:00PM,7:00AM,2:00PM,7:00AM,2:00PM,7:00AM,2:00PM,7:00AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 151K Lyndon Baines Johnson Elementary School,Brooklyn,Weirfield Street,Knickerbocker Avenue,Irving Avenue,Temporary Full Closure,09/27/2021,11:00AM,1:45PM,11:00AM,1:45PM,11:00AM,1:45PM,11:00AM,1:45PM,11:00AM,1:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Imagine Early Learning Centers @ Brooklyn Heights,Brooklyn,Monroe Place,Clark Street,Pierrepont Street,Temporary Full Closure,09/27/2021,9:30AM,4:00PM,9:30AM,4:00PM,9:30AM,4:00PM,9:30AM,4:00PM,9:30AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Saint Bernard Catholic Academy,Brooklyn,East 69th Street,Veterans Avenue,Avenue U,Temporary Full Closure,09/27/2021,8:30AM,2:00PM,8:30AM,2:00PM,8:30AM,2:00PM,8:30AM,2:00PM,8:30AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Children's Workshop School,Manhattan,East 12th Street,Avenue B,Avenue C,Temporary Full Closure,09/27/2021,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Winston Preparatory School,Manhattan,West 16th Street,7th Avenue,6th Avenue,Temporary Full Closure,09/27/2021,8:45AM,3:00PM,8:45AM,3:00PM,8:45AM,3:00PM,8:45AM,3:00PM,8:45AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
The Ramaz School,Manhattan,East 78th Street,Madison Avenue,Park Avenue,Temporary Full Closure,09/27/2021,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
"Edward Bleeker, JHS 185",Queens,147th Street,25th Drive,26th Avenue,Temporary Full Closure,09/27/2021,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,7:30AM,3:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 110 The Tiffany School,Queens,44th Avenue,97th Place,Junction Boulevard,Temporary Full Closure,09/27/2021,1:45PM,2:45PM,1:45PM,2:45PM,1:45PM,2:45PM,1:45PM,2:45PM,1:45PM,2:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Explore Charter School,Brooklyn,Parkside Avenue,Rogers Avenue,Nostrand Avenue,Temporary Full Closure,10/01/2021,3:00PM,4:00PM,3:00PM,4:00PM,1:45PM,2:30PM,3:00PM,4:00PM,3:00PM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Dimtrios and Georgia Kaloidis School,Brooklyn,Ridge Boulevard,85th Street,86th Street,Temporary Full Closure,10/01/2021,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,9:30AM,2:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Stone Street Community Association,Manhattan,Stone Street,Hanover Square,Coenties Slip,Temporary Full Closure,10/05/2021,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
Explore Charter School,Brooklyn,Winthrop Street,Nostrand Avenue,Rogers Avenue,Temporary Full Closure,10/13/2021,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Saint Demetrios School Of Astoria,Queens,30th Drive,31st Street,30th Street,Temporary Full Closure,10/13/2021,9:15AM,1:45PM,9:15AM,1:45PM,9:15AM,1:45PM,9:15AM,1:45PM,9:15AM,1:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
JHS 194,Queens,157th Street,17th Avenue,17th Road,Temporary Full Closure,10/13/2021,10:00AM,1:45PM,10:00AM,1:45PM,10:00AM,1:45PM,10:00AM,1:45PM,10:00AM,1:45PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 19,Queens,98th Street,Roosevelt Avenue,41st Avenue,Temporary Full Closure,10/13/2021,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Flatiron 23rd Street Partnership,Manhattan,Broadway,West 25th Street,West 27th Street,Temporary Full Closure,10/27/2021,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
Little Brooklyn PK Center,Brooklyn,Whitwell Place,1st Street,Carroll Street,Temporary Full Closure,10/27/2021,8:30AM,12:00PM,8:30AM,12:00PM,8:30AM,12:00PM,8:30AM,12:00PM,8:30AM,12:00PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
PS 12,Queens,72nd Street,Woodside Avenue,43rd Avenue,Temporary Full Closure,11/01/2021,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,7:30AM,2:30PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
